Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two
3,Wests Tigers,Zane Musgrove,8,Prop,33,0,0,0,0,0,0,0,0,25,11,96,0,40,0,0,0,0,2,11,10,3.77,0,0,0,0,0,0,11,0,0.857,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,7
3,Wests Tigers,Jacob Liddle,9,Hooker,60,0,0,0,0,0,0,0,0,32,5,40,0,12,0,0,0,0,0,0,4,4.31,5,40,0,0,3,90,94,18,0.778,42,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10
3,Wests Tigers,James Tamou,10,Prop,48,0,0,0,0,0,0,0,0,36,9,86,21,22,0,0,0,0,0,7,8,3.05,0,0,0,0,0,3,12,0.33,0.966,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,24,23
3,Wests Tigers,Luke Garner,11,2nd,80,0,0,0,0,0,0,0,0,49,6,52,0,24,0,0,0,0,1,6,6,3.96,0,0,0,0,0,0,7,0,0.915,43,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
3,Wests Tigers,Luciano Leilua,12,2nd,80,0,0,0,0,0,0,0,0,50,13,123,0,48,0,0,0,0,2,12,13,4.23,0,0,0,0,2,6,20,0.46,0.853,29,2,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,80,0
3,Wests Tigers,Alex Twal,13,Lock,70,0,0,0,0,0,0,0,0,70,13,103,0,46,0,0,0,0,1,13,13,3.6,0,0,0,0,0,3,16,0.23,0.961,49,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,19
3,Wests Tigers,Joe Ofahengaue,14,Interchange,36,0,0,0,0,0,0,0,0,27,8,63,0,23,0,0,0,0,0,8,7,3.3,0,0,0,1,0,1,9,0.13,0.852,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,0
3,Wests Tigers,Thomas Mikaele,15,Interchange,22,0,0,0,0,0,0,0,0,25,4,37,0,23,0,0,0,0,1,4,4,3.05,0,0,0,0,0,1,5,0.25,1.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
3,Wests Tigers,Stefano Utoikamanu,16,Interchange,30,4,1,0,0,0,0,0,0,48,8,109,0,28,1,0,0,0,2,8,7,3.23,0,0,0,0,1,2,10,0.25,0.857,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0
3,Wests Tigers,Moses Mbye,17,Interchange,30,0,0,0,0,0,0,0,0,15,1,7,0,5,0,0,0,0,0,0,1,3.4,1,7,0,0,0,25,27,25,0.867,13,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,0
3,Cowboys,Scott Drinkwater,1,Five-Eighth,80,0,0,0,0,0,0,0,0,28,17,81,0,6,0,1,0,0,3,0,3,2.88,0,0,0,0,0,30,40,1.76,0.813,13,3,0,0,0,5,87,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,80,0
